Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10040,2024-02-09,Fashion,Leather Jacket,3,250,750,Europe,Credit Card
10041,2024-02-10,Electronics,iPad,3,700,2100,South America,Credit Card
10042,2024-02-11,Home Appliances,Dyson Vacuum,3,600,1800,North America,Debit Card
10043,2024-02-12,Furniture,Office Chair,2,350,700,Africa,Credit Card
10044,2024-02-13,Sports,Treadmill,4,800,3200,Asia,Debit Card
10045,2024-02-14,Fashion,Leather Jacket,4,250,1000,Africa,Debit Card
10046,2024-02-15,Electronics,Samsung Galaxy,5,850,4250,Africa,Cash
10047,2024-02-16,Home Appliances,Dyson Vacuum,5,600,3000,Oceania,Debit Card
10048,2024-02-17,Furniture,Bookshelf,3,300,900,South America,PayPal
10049,2024-02-18,Sports,Exercise Bike,5,700,3500,South America,Credit Card
10050,2024-02-19,Fashion,Leather Jacket,2,250,500,Asia,PayPal
10051,2024-02-20,Electronics,iPhone,5,900,4500,Africa,Debit Card
10052,2024-02-21,Home Appliances,Microwave Oven,2,300,600,Asia,Credit Card
10053,2024-02-22,Furniture,Bookshelf,1,300,300,Europe,Credit Card
10054,2024-02-23,Sports,Treadmill,3,800,2400,Asia,Debit Card
10055,2024-02-24,Fashion,Sneakers,4,180,720,Europe,Debit Card
10056,2024-02-25,Electronics,iPad,5,700,3500,Africa,Cash
10057,2024-02-26,Home Appliances,Dyson Vacuum,4,600,2400,South America,Debit Card
10058,2024-02-27,Furniture,Office Chair,1,350,350,Oceania,Cash
10059,2024-02-28,Sports,Exercise Bike,4,700,2800,South America,Cash
10060,2024-02-29,Fashion,Smart Watch,1,350,350,Oceania,Credit Card
10061,2024-03-01,Electronics,iPhone,4,900,3600,Oceania,PayPal
10062,2024-03-02,Home Appliances,Dyson Vacuum,2,600,1200,Europe,Debit Card
10063,2024-03-03,Furniture,Bookshelf,4,300,1200,Europe,Cash
10064,2024-03-04,Sports,Treadmill,3,800,2400,South America,Debit Card
10065,2024-03-05,Fashion,Leather Jacket,4,250,1000,Africa,Credit Card
10066,2024-03-06,Electronics,iPhone,5,900,4500,Asia,Credit Card
10067,2024-03-07,Home Appliances,Dyson Vacuum,2,600,1200,South America,Cash
10068,2024-03-08,Furniture,Study Table,2,400,800,South America,Credit Card
10069,2024-03-09,Sports,Treadmill,4,800,3200,Asia,Cash
10070,2024-03-10,Fashion,Sneakers,4,180,720,North America,Cash
10071,2024-03-11,Electronics,iPad,5,700,3500,Oceania,Cash
10072,2024-03-12,Home Appliances,Dyson Vacuum,2,600,1200,North America,Debit Card
10073,2024-03-13,Furniture,Office Chair,5,350,1750,Oceania,Credit Card
10074,2024-03-14,Sports,Dumbbell Set,3,250,750,Asia,Credit Card
10075,2024-03-15,Fashion,Smart Watch,4,350,1400,Africa,Debit Card
10076,2024-03-16,Electronics,iPhone,5,900,4500,Asia,Debit Card
10077,2024-03-17,Home Appliances,Dyson Vacuum,5,600,3000,Asia,Debit Card
10078,2024-03-18,Furniture,Study Table,1,400,400,Africa,Debit Card
10079,2024-03-19,Sports,Dumbbell Set,5,250,1250,Asia,Credit Card
10080,2024-03-20,Fashion,Sneakers,5,180,900,Africa,PayPal
10081,2024-03-21,Electronics,Samsung Galaxy,2,850,1700,Oceania,PayPal
10082,2024-03-22,Home Appliances,Dyson Vacuum,3,600,1800,South America,Debit Card
10083,2024-03-23,Furniture,Bookshelf,3,300,900,South America,PayPal
10084,2024-03-24,Sports,Treadmill,1,800,800,South America,Credit Card
10085,2024-03-25,Fashion,Leather Jacket,5,250,1250,Europe,PayPal
10086,2024-03-26,Electronics,iPhone,3,900,2700,Asia,Debit Card
10087,2024-03-27,Home Appliances,Air Fryer,3,250,750,Europe,Cash
10088,2024-03-28,Furniture,Bookshelf,3,300,900,Africa,Credit Card
10089,2024-03-29,Sports,Dumbbell Set,5,250,1250,North America,Credit Card
10090,2024-03-30,Fashion,Leather Jacket,3,250,750,Asia,Credit Card
10091,2024-03-31,Electronics,iPad,5,700,3500,Europe,PayPal
10092,2024-04-01,Home Appliances,Air Fryer,5,250,1250,Europe,PayPal
10093,2024-04-02,Furniture,Office Chair,3,350,1050,Africa,Cash
10094,2024-04-03,Sports,Exercise Bike,1,700,700,Asia,Cash
10095,2024-04-04,Fashion,Sneakers,1,180,180,Asia,PayPal
10096,2024-04-05,Electronics,iPhone,3,900,2700,Europe,Cash
10097,2024-04-06,Home Appliances,Microwave Oven,4,300,1200,Africa,Credit Card
10098,2024-04-07,Furniture,Office Chair,1,350,350,Oceania,Debit Card
10099,2024-04-08,Sports,Dumbbell Set,1,250,250,North America,Debit Card
10100,2024-04-09,Fashion,Sneakers,2,180,360,Asia,PayPal
